"44,29",,,5,5,Ковровский район,,,,,1,https://vladimir.cian.ru/sale/flat/240388315/,3146408
35,7,19,10,10,Александров,Панельный,1983,Железобетонные,3,1,https://vladimir.cian.ru/sale/flat/245813716/,1220000
"45,2",7,31,5,5,Александров,Панельный,1978,Железобетонные,6,2,https://vladimir.cian.ru/sale/flat/245809869/,1150000
"51,17",,,6,14,Владимир,,,,,2,https://vladimir.cian.ru/sale/flat/237945364/,2814350
"31,1",,,2,3,Ковров,Кирпичный,1958,Деревянные,2,1,https://vladimir.cian.ru/sale/flat/225699884/,850000₽
"50,2",6,41,5,5,Александров,Кирпичный,1970,Железобетонные,4,3,https://vladimir.cian.ru/sale/flat/246920752/,1850000
"42,8",12,"17,6",1,18,Владимир,,,,,1,https://vladimir.cian.ru/sale/flat/245694799/,2097200
30,,,1,2,Ковров,,,,,2,https://vladimir.cian.ru/sale/flat/225699582/,780000₽
"43,7",,,1,4,Ковров,Кирпичный,1960,Железобетонные,2,2,https://vladimir.cian.ru/sale/flat/247076200/,1150000
44,,30,1,5,Владимир,Кирпичный,1965,Железобетонные,4,2,https://vladimir.cian.ru/sale/flat/248144454/,1890000
"51,6","9,4","26,8",1,18,Владимир,,,,,2,https://vladimir.cian.ru/sale/flat/245694803/,2476800
53,6,40,4,5,Александровский район,,,,,3,https://vladimir.cian.ru/sale/flat/248186406/,1800000
"71,13",,,5,10,Владимир,,,,,2,https://vladimir.cian.ru/sale/flat/235576758/,5619270
"73,88",,,8,14,Владимир,,,,,3,https://vladimir.cian.ru/sale/flat/237945398/,3583180
41,6,30,3,4,Александров,Кирпичный,1962,Железобетонные,3,2,https://vladimir.cian.ru/sale/flat/233810542/,1750000
62,8,49,2,3,Селивановский район,Кирпичный,,,,3,https://vladimir.cian.ru/sale/flat/228287654/,260000₽
30,,15,1,2,Муром,Деревянный,,,,1,https://vladimir.cian.ru/sale/flat/226050870/,270000₽
"42,35","11,8","15,4",1,12,Владимир,,,,,1,https://vladimir.cian.ru/sale/flat/232933004/,1778700
45,6,,2,4,Александровский район,Кирпичный,1966,Железобетонные,2,2,https://vladimir.cian.ru/sale/flat/244816214/,1250000
"60,54",,,2,10,Владимир,,,,,2,https://vladimir.cian.ru/sale/flat/235576634/,4298340
"36,5",,17,2,4,Владимир,Панельный,,,,1,https://vladimir.cian.ru/sale/flat/247291871/,1400000
"37,1","10,5",13,17,18,Владимир,,,,,1,https://vladimir.cian.ru/sale/flat/245694783/,1930000
"40,35","10,5","23,8",8,9,Владимир,,,,,1,https://vladimir.cian.ru/sale/flat/232932969/,1775400
"62,85","15,8","27,5",3,15,Владимир,,,,,2,https://vladimir.cian.ru/sale/flat/232933985/,2388300
"65,6",,40,10,10,Владимир,Панельный,1988,Железобетонные,3,3,https://vladimir.cian.ru/sale/flat/248579499/,3100000
"44,32","12,2","16,7",3,15,Владимир,,,,,1,https://vladimir.cian.ru/sale/flat/248741962/,1728480
33,,19,5,5,Владимир,Кирпичный,1970,Железобетонные,8,1,https://vladimir.cian.ru/sale/flat/241073476/,1730000
"57,04","9,3","36,3",1,17,Владимир,,,,,2,https://vladimir.cian.ru/sale/flat/232933670/,3479440
80,,,5,5,Александровский район,Кирпичный,1964,,,4,https://vladimir.cian.ru/sale/flat/240842931/,2750000
62,"5,6",52,3,5,Петушки,Кирпичный,1973,Железобетонные,4,3,https://vladimir.cian.ru/sale/flat/243867870/,2500000
32,6,18,1,5,Александровский район,Кирпичный,,,,1,https://vladimir.cian.ru/sale/flat/223251666/,1250000
43,6,21,1,5,Александров,Кирпичный,1967,Железобетонные,4,2,https://vladimir.cian.ru/sale/flat/241691852/,1450000
54,8,"29,7",9,9,Владимир,Панельный,1976,Железобетонные,3,2,https://vladimir.cian.ru/sale/flat/240238941/,2460000
"45,18","11,8","16,7",2,15,Владимир,,,,,1,https://vladimir.cian.ru/sale/flat/232934034/,1762020
"45,1",6,30,4,5,Кольчугино,Кирпичный,1966,Железобетонные,4,2,https://vladimir.cian.ru/sale/flat/247520596/,1150000
31,6,18,1,5,Владимир,Кирпичный,1967,Железобетонные,3,1,https://vladimir.cian.ru/sale/flat/246795107/,1545000
"58,1",6,39,1,5,Владимир,Панельный,1969,Железобетонные,7,3,https://vladimir.cian.ru/sale/flat/247709890/,4000000
"41,11","10,5","23,1",1,17,Владимир,,,,,1,https://vladimir.cian.ru/sale/flat/232933876/,2589930
42,6,27,2,5,Александров,Кирпичный,1968,Железобетонные,4,2,https://vladimir.cian.ru/sale/flat/248451620/,1550000
"43,84","11,8","16,9",14,15,Владимир,,,,,1,https://vladimir.cian.ru/sale/flat/232934095/,1709760
"80,91",,,1,5,Ковровский район,,,,,3,https://vladimir.cian.ru/sale/flat/238201534/,4989055
"62,96","14,7","33,5",1,14,Владимир,,,,,2,https://vladimir.cian.ru/sale/flat/234242137/,2455440
"57,8",,,2,4,Ковровский район,,,,,2,https://vladimir.cian.ru/sale/flat/246160218/,3714654
"60,84",,,2,5,Ковровский район,,,,,2,https://vladimir.cian.ru/sale/flat/241941538/,3983613
"84,05","12,2","52,2",9,12,Владимир,,,,,3,https://vladimir.cian.ru/sale/flat/232933043/,3277950
